"Year","Team","Win_perc","PF","PA"
2013,"Washington Redskins",".188","334","478"
2013,"Green Bay Packers",".531","417","428"
2013,"Chicago Bears",".500","445","478"
2013,"Detroit Lions",".438","395","376"
2013,"Minnesota Vikings",".344","391","480"
2013,"Carolina Panthers",".750","366","241"
2013,"New Orleans Saints",".688","414","304"
2013,"Atlanta Falcons",".250","353","443"
2013,"Tampa Bay Buccaneers",".250","288","389"
2013,"Seattle Seahawks",".813","417","231"
2013,"San Francisco 49ers",".750","406","272"
2013,"Arizona Cardinals",".625","379","324"
2013,"St. Louis Rams",".438","348","364"
2014,"New England Patriots",".750","468","313"
2014,"Buffalo Bills",".563","343","289"
2014,"Miami Dolphins",".500","388","373"
2014,"New York Jets",".250","283","401"
2014,"Pittsburgh Steelers",".688","436","368"
2014,"Cincinnati Bengals",".656","365","344"
2014,"Baltimore Ravens",".625","409","302"
2014,"Cleveland Browns",".438","299","337"
2014,"Indianapolis Colts",".688","458","369"
2014,"Houston Texans",".563","372","307"
2014,"Jacksonville Jaguars",".188","249","412"
2014,"Tennessee Titans",".125","254","438"
2014,"Denver Broncos",".750","482","354"
2014,"Kansas City Chiefs",".563","353","281"
2014,"San Diego Chargers",".563","348","348"
2014,"Oakland Raiders",".188","253","452"
2014,"Dallas Cowboys",".750","467","352"
2014,"Philadelphia Eagles",".625","474","400"
2014,"New York Giants",".375","380","400"
2014,"Washington Redskins",".250","301","438"
2014,"Green Bay Packers",".750","486","348"
2014,"Detroit Lions",".688","321","282"
2014,"Minnesota Vikings",".438","325","343"
2014,"Chicago Bears",".313","319","442"
2014,"Carolina Panthers",".469","339","374"
2014,"New Orleans Saints",".438","401","424"
2014,"Atlanta Falcons",".375","381","417"
2014,"Tampa Bay Buccaneers",".125","277","410"
2014,"Seattle Seahawks",".750","394","254"
2014,"Arizona Cardinals",".688","310","299"
2014,"San Francisco 49ers",".500","306","340"
2014,"St. Louis Rams",".375","324","354"
2015,"New England Patriots",".750","465","315"
2015,"New York Jets",".625","387","314"
2015,"Buffalo Bills",".500","379","359"
2015,"Miami Dolphins",".375","310","389"
2015,"Cincinnati Bengals",".750","419","279"
2015,"Pittsburgh Steelers",".625","423","319"
2015,"Baltimore Ravens",".313","328","401"
2015,"Cleveland Browns",".188","278","432"
2015,"Houston Texans",".563","339","313"
2015,"Indianapolis Colts",".500","333","408"
2015,"Jacksonville Jaguars",".313","376","448"
2015,"Tennessee Titans",".188","299","423"
2015,"Denver Broncos",".750","355","296"
2015,"Kansas City Chiefs",".688","405","287"
2015,"Oakland Raiders",".438","359","399"
2015,"San Diego Chargers",".250","320","398"
2015,"Washington Redskins",".563","388","379"
2015,"Philadelphia Eagles",".438","377","430"
2015,"New York Giants",".375","420","442"
2015,"Dallas Cowboys",".250","275","374"
2015,"Minnesota Vikings",".688","365","302"
2015,"Green Bay Packers",".625","368","323"
2015,"Detroit Lions",".438","358","400"
2015,"Chicago Bears",".375","335","397"
2015,"Carolina Panthers",".938","500","308"
2015,"Atlanta Falcons",".500","339","345"
2015,"New Orleans Saints",".438","408","476"
2015,"Tampa Bay Buccaneers",".375","342","417"
2015,"Arizona Cardinals",".813","489","313"
2015,"Seattle Seahawks",".625","423","277"
2015,"St. Louis Rams",".438","280","330"
2015,"San Francisco 49ers",".313","238","387"
2016,"New England Patriots",".875","441","250"
2016,"Miami Dolphins",".625","363","380"
2016,"Buffalo Bills",".438","399","378"
2016,"New York Jets",".313","275","409"
2016,"Pittsburgh Steelers",".688","399","327"
2016,"Baltimore Ravens",".500","343","321"
2016,"Cincinnati Bengals",".406","325","315"
2016,"Cleveland Browns",".063","264","452"
2016,"Houston Texans",".563","279","328"
2016,"Tennessee Titans",".563","381","378"
2016,"Indianapolis Colts",".500","411","392"
2016,"Jacksonville Jaguars",".188","318","400"
2016,"Kansas City Chiefs",".750","389","311"
2016,"Oakland Raiders",".750","416","385"
2016,"Denver Broncos",".563","333","297"
2016,"San Diego Chargers",".313","410","423"
2016,"Dallas Cowboys",".813","421","306"
2016,"New York Giants",".688","310","284"
2016,"Washington Redskins",".531","396","383"
2016,"Philadelphia Eagles",".438","367","331"
2016,"Green Bay Packers",".625","432","388"
2016,"Detroit Lions",".563","346","358"
2016,"Minnesota Vikings",".500","327","307"
2016,"Chicago Bears",".188","279","399"
2016,"Atlanta Falcons",".688","540","406"
2016,"Tampa Bay Buccaneers",".563","354","369"
2016,"New Orleans Saints",".438","469","454"
2016,"Carolina Panthers",".375","369","402"
2016,"Seattle Seahawks",".656","354","292"
2016,"Arizona Cardinals",".469","418","362"
2016,"Los Angeles Rams",".250","224","394"
2016,"San Francisco 49ers",".125","309","480"
2017,"New England Patriots",".813","458","296"
2017,"Buffalo Bills",".563","302","359"
2017,"Miami Dolphins",".375","281","393"
2017,"New York Jets",".313","298","382"
2017,"Pittsburgh Steelers",".813","406","308"
2017,"Baltimore Ravens",".563","395","303"
2017,"Cincinnati Bengals",".438","290","349"
2017,"Cleveland Browns",".000","234","410"
2017,"Jacksonville Jaguars",".625","417","268"
2017,"Tennessee Titans",".563","334","356"
2017,"Indianapolis Colts",".250","263","404"
2017,"Houston Texans",".250","338","436"
2017,"Kansas City Chiefs",".625","415","339"
2017,"Los Angeles Chargers",".563","355","272"
2017,"Oakland Raiders",".375","301","373"
2017,"Denver Broncos",".313","289","382"
2017,"Philadelphia Eagles",".813","457","295"
2017,"Dallas Cowboys",".563","354","332"
2017,"Washington Redskins",".438","342","388"
2017,"New York Giants",".188","246","388"
2017,"Minnesota Vikings",".813","382","252"
2017,"Detroit Lions",".563","410","376"
2017,"Green Bay Packers",".438","320","384"
2017,"Chicago Bears",".313","264","320"
2017,"New Orleans Saints",".688","448","326"
2017,"Carolina Panthers",".688","363","327"
2017,"Atlanta Falcons",".625","353","315"
2017,"Tampa Bay Buccaneers",".313","335","382"
2017,"Los Angeles Rams",".688","478","329"
2017,"Seattle Seahawks",".563","366","332"
2017,"Arizona Cardinals",".500","295","361"
2017,"San Francisco 49ers",".375","331","383"
2018,"New England Patriots",".688","436","325"
2018,"Miami Dolphins",".438","319","433"
2018,"Buffalo Bills",".375","269","374"
2018,"New York Jets",".250","333","441"
2018,"Baltimore Ravens",".625","389","287"
2018,"Pittsburgh Steelers",".594","428","360"
2018,"Cleveland Browns",".469","359","392"
2018,"Cincinnati Bengals",".375","368","455"
2018,"Houston Texans",".688","402","316"
2018,"Indianapolis Colts",".625","433","344"
2018,"Tennessee Titans",".563","310","303"
2018,"Jacksonville Jaguars",".313","245","316"
2018,"Kansas City Chiefs",".750","565","421"
2018,"Los Angeles Chargers",".750","428","329"
2018,"Denver Broncos",".375","329","349"
2018,"Oakland Raiders",".250","290","467"
2018,"Dallas Cowboys",".625","339","324"
2018,"Philadelphia Eagles",".563","367","348"
2018,"Washington Redskins",".438","281","359"
2018,"New York Giants",".313","369","412"
2018,"Chicago Bears",".750","421","283"
2018,"Minnesota Vikings",".531","360","341"
2018,"Green Bay Packers",".406","376","400"
2018,"Detroit Lions",".375","324","360"
2018,"New Orleans Saints",".813","504","353"
2018,"Atlanta Falcons",".438","414","423"
2018,"Carolina Panthers",".438","376","382"
2018,"Tampa Bay Buccaneers",".313","396","464"
2018,"Los Angeles Rams",".813","527","384"
2018,"Seattle Seahawks",".625","428","347"
2018,"San Francisco 49ers",".250","342","435"
2018,"Arizona Cardinals",".188","225","425"
2019,"New England Patriots",".750","420","225"
2019,"Buffalo Bills",".625","314","259"
2019,"New York Jets",".438","276","359"
2019,"Miami Dolphins",".313","306","494"
2019,"Baltimore Ravens",".875","531","282"
2019,"Pittsburgh Steelers",".500","289","303"
2019,"Cleveland Browns",".375","335","393"
2019,"Cincinnati Bengals",".125","279","420"
2019,"Houston Texans",".625","378","385"
2019,"Tennessee Titans",".563","402","331"
2019,"Indianapolis Colts",".438","361","373"
2019,"Jacksonville Jaguars",".375","300","397"
2019,"Kansas City Chiefs",".750","451","308"
2019,"Denver Broncos",".438","282","316"
2019,"Oakland Raiders",".438","313","419"
2019,"Los Angeles Chargers",".313","337","345"
2019,"Philadelphia Eagles",".563","385","354"
2019,"Dallas Cowboys",".500","434","321"
2019,"New York Giants",".250","341","451"
2019,"Washington Redskins",".188","266","435"
2019,"Green Bay Packers",".813","376","313"
2019,"Minnesota Vikings",".625","407","303"
2019,"Chicago Bears",".500","280","298"
2019,"Detroit Lions",".219","341","423"
2019,"New Orleans Saints",".813","458","341"
2019,"Atlanta Falcons",".438","381","399"
2019,"Tampa Bay Buccaneers",".438","458","449"
2019,"Carolina Panthers",".313","340","470"
2019,"San Francisco 49ers",".813","479","310"
2019,"Seattle Seahawks",".688","405","398"
2019,"Los Angeles Rams",".563","394","364"
2019,"Arizona Cardinals",".344","361","442"
2020,"Buffalo Bills",".813","501","375"
2020,"Miami Dolphins",".625","404","338"
2020,"New England Patriots",".438","326","353"
2020,"New York Jets",".125","243","457"
2020,"Pittsburgh Steelers",".750","416","312"
2020,"Baltimore Ravens",".688","468","303"
2020,"Cleveland Browns",".688","408","419"
2020,"Cincinnati Bengals",".281","311","424"
2020,"Tennessee Titans",".688","491","439"
2020,"Indianapolis Colts",".688","451","362"
2020,"Houston Texans",".250","384","464"
2020,"Jacksonville Jaguars",".063","306","492"
2020,"Kansas City Chiefs",".875","473","362"
2020,"Las Vegas Raiders",".500","434","478"
2020,"Los Angeles Chargers",".438","384","426"
2020,"Denver Broncos",".313","323","446"
2020,"Washington Football Team",".438","335","329"
2020,"New York Giants",".375","280","357"
2020,"Dallas Cowboys",".375","395","473"
2020,"Philadelphia Eagles",".281","334","418"
2020,"Green Bay Packers",".813","509","369"
2020,"Chicago Bears",".500","372","370"
2020,"Minnesota Vikings",".438","430","475"
2020,"Detroit Lions",".313","377","519"
2020,"New Orleans Saints",".750","482","337"
2020,"Tampa Bay Buccaneers",".688","492","355"
2020,"Carolina Panthers",".313","350","402"
2020,"Atlanta Falcons",".250","396","414"
2020,"Seattle Seahawks",".750","459","371"
2020,"Los Angeles Rams",".625","372","296"
2020,"Arizona Cardinals",".500","410","367"
2020,"San Francisco 49ers",".375","376","390"
2021,"Buffalo Bills",".647","483","289"
2021,"New England Patriots",".588","462","303"
2021,"Miami Dolphins",".529","341","373"
2021,"New York Jets",".235","310","504"
2021,"Cincinnati Bengals",".588","460","376"
2021,"Pittsburgh Steelers",".559","343","398"
2021,"Cleveland Browns",".471","349","371"
2021,"Baltimore Ravens",".471","387","392"
2021,"Tennessee Titans",".706","419","354"
2021,"Indianapolis Colts",".529","451","365"
2021,"Houston Texans",".235","280","452"
2021,"Jacksonville Jaguars",".176","253","457"
2021,"Kansas City Chiefs",".706","480","364"
2021,"Las Vegas Raiders",".588","374","439"
2021,"Los Angeles Chargers",".529","474","459"
2021,"Denver Broncos",".412","335","322"
2021,"Dallas Cowboys",".706","530","358"
2021,"Philadelphia Eagles",".529","444","385"
2021,"Washington Football Team",".412","335","434"
2021,"New York Giants",".235","258","416"
2021,"Green Bay Packers",".765","450","371"
2021,"Minnesota Vikings",".471","425","426"
2021,"Chicago Bears",".353","311","407"
2021,"Detroit Lions",".206","325","467"
2021,"Tampa Bay Buccaneers",".765","511","353"
2021,"New Orleans Saints",".529","364","335"
2021,"Atlanta Falcons",".412","313","459"
2021,"Carolina Panthers",".294","304","404"
2021,"Los Angeles Rams",".706","460","372"
2021,"Arizona Cardinals",".647","449","366"
2021,"San Francisco 49ers",".588","427","365"
2021,"Seattle Seahawks",".412","395","366"
2022,"Buffalo Bills",".813","455","286"
2022,"Miami Dolphins",".529","397","399"
2022,"New England Patriots",".471","364","347"
2022,"New York Jets",".412","296","316"
2022,"Cincinnati Bengals",".750","418","322"
2022,"Baltimore Ravens",".588","350","315"
2022,"Pittsburgh Steelers",".529","308","346"
2022,"Cleveland Browns",".412","361","381"
2022,"Jacksonville Jaguars",".529","404","350"
2022,"Tennessee Titans",".412","298","359"
2022,"Indianapolis Colts",".265","289","427"
2022,"Houston Texans",".206","289","420"
2022,"Kansas City Chiefs",".824","496","369"
2022,"Los Angeles Chargers",".588","391","384"
2022,"Las Vegas Raiders",".353","395","418"
2022,"Denver Broncos",".294","287","359"
2022,"Philadelphia Eagles",".824","477","344"
2022,"Dallas Cowboys",".706","467","342"
2022,"New York Giants",".559","365","371"
2022,"Washington Commanders",".500","321","343"
2022,"Minnesota Vikings",".765","424","427"
2022,"Detroit Lions",".529","453","427"
2022,"Green Bay Packers",".471","370","371"
2022,"Chicago Bears",".176","326","463"
2022,"Tampa Bay Buccaneers",".471","313","358"
2022,"Carolina Panthers",".412","347","374"
2022,"New Orleans Saints",".412","330","345"
2022,"Atlanta Falcons",".412","365","386"
2022,"San Francisco 49ers",".765","450","277"
2022,"Seattle Seahawks",".529","407","401"
2022,"Los Angeles Rams",".294","307","384"
2022,"Arizona Cardinals",".235","340","449"
2023,"Buffalo Bills",".647","451","311"
2023,"Miami Dolphins",".647","496","391"
2023,"New York Jets",".412","268","355"
2023,"New England Patriots",".235","236","366"
2023,"Baltimore Ravens",".765","483","280"
2023,"Cleveland Browns",".647","396","362"
2023,"Pittsburgh Steelers",".588","304","324"
2023,"Cincinnati Bengals",".529","366","384"
2023,"Houston Texans",".588","377","353"
2023,"Jacksonville Jaguars",".529","377","371"
2023,"Indianapolis Colts",".529","396","415"
2023,"Tennessee Titans",".353","305","367"
2023,"Kansas City Chiefs",".647","371","294"
2023,"Las Vegas Raiders",".471","332","331"
2023,"Denver Broncos",".471","357","413"
2023,"Los Angeles Chargers",".294","346","398"
2023,"Dallas Cowboys",".706","509","315"
2023,"Philadelphia Eagles",".647","433","428"
2023,"New York Giants",".353","266","407"
2023,"Washington Commanders",".235","329","518"
2023,"Detroit Lions",".706","461","395"
2023,"Green Bay Packers",".529","383","350"
2023,"Minnesota Vikings",".412","344","362"
2023,"Chicago Bears",".412","360","379"
2023,"Tampa Bay Buccaneers",".529","348","325"
2023,"New Orleans Saints",".529","402","327"
2023,"Atlanta Falcons",".412","321","373"
2023,"Carolina Panthers",".118","236","416"
2023,"San Francisco 49ers",".706","491","298"
2023,"Los Angeles Rams",".588","404","377"
2023,"Seattle Seahawks",".529","364","402"
2023,"Arizona Cardinals",".235","330","455"
2024,"Buffalo Bills",".765","525","368"
2024,"Miami Dolphins",".471","345","364"
2024,"New York Jets",".294","338","404"
2024,"New England Patriots",".235","289","417"
2024,"Baltimore Ravens",".706","518","361"
2024,"Pittsburgh Steelers",".588","380","347"
2024,"Cincinnati Bengals",".529","472","434"
2024,"Cleveland Browns",".176","258","435"
2024,"Houston Texans",".588","372","372"
2024,"Indianapolis Colts",".471","377","427"
2024,"Jacksonville Jaguars",".235","320","435"
2024,"Tennessee Titans",".176","311","460"
2024,"Kansas City Chiefs",".882","385","326"
2024,"Los Angeles Chargers",".647","402","301"
2024,"Denver Broncos",".588","425","311"
2024,"Las Vegas Raiders",".235","309","434"
2024,"Philadelphia Eagles",".824","463","303"
2024,"Washington Commanders",".706","485","391"
2024,"Dallas Cowboys",".412","350","468"
2024,"New York Giants",".176","273","415"
2024,"Detroit Lions",".882","564","342"
2024,"Minnesota Vikings",".824","432","332"
2024,"Green Bay Packers",".647","460","338"
2024,"Chicago Bears",".294","310","370"
2024,"Tampa Bay Buccaneers",".588","502","385"
2024,"Atlanta Falcons",".471","389","423"
2024,"Carolina Panthers",".294","341","534"
2024,"New Orleans Saints",".294","338","398"
2024,"Los Angeles Rams",".588","367","386"
2024,"Seattle Seahawks",".588","375","368"
2024,"Arizona Cardinals",".471","400","379"
2024,"San Francisco 49ers",".353","389","436"
